complaint,relevant_policy,policy_category,resolution,validity
Zara Ali wants to file a Purchase Security claim for a new tablet she received as a birthday gift. Her sister purchased the tablet using her own credit card. The tablet was damaged while in Zara's possession on 06/01/2024. Zara's card is 4000 1000 0000 0055.,PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (i) 90 days after the date of purchase of an Insured Item. (ii) the date the Account ceases to be in Good Standing. and (iii) the date the Cardmember ceases to be eligible for coverage. Items purchased after coverage has ended are not covered.,Purchase Security,"Explain that Purchase Security applies to items purchased by the cardholder using their eligible card, not to gifts received from others.",Invalid: Item not purchased by the cardholder with the eligible card.
"Zara Ali is trying to claim Purchase Security for a vintage collector's item she purchased on 12/15/2023. She received her card 4000 1000 0000 0055 on 01/01/2024, and the Purchase Security policy came into effect for this card on 02/01/2024. The item was damaged on 06/01/2024.",PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (i) 90 days after the date of purchase of an Insured Item. (ii) the date the Account ceases to be in Good Standing. and (iii) the date the Cardmember ceases to be eligible for coverage. Items purchased after coverage has ended are not covered.,Purchase Security,Explain that Purchase Security only applies to eligible items purchased after the card was issued and the policy was in effect. The purchase predates the card and policy coverage.,Invalid: Item purchased before the card was issued and policy became active.
Zara Ali purchased a smart home device for $250 using her card 4000 1000 0000 0055 on 05/10/2024. Her account had been in 'Good Standing' since 05/01/2024 after a period of being not in 'Good Standing'. The device was damaged on 06/01/2024. She wants to make a Purchase Security claim.,PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (i) 90 days after the date of purchase of an Insured Item. (ii) the date the Account ceases to be in Good Standing. and (iii) the date the Cardmember ceases to be eligible for coverage. Items purchased after coverage has ended are not covered.,Purchase Security,Process Purchase Security claim as the item was purchased while the account was in Good Standing and within the 90-day period.,Valid: Item purchased when account was in Good Standing and damaged within 90 days.
Zara Ali used her card 4000 1000 0000 0055 to buy a new pair of running shoes for $150 on 06/05/2024. The shoes were damaged in a washing machine incident on 06/15/2024. She wants to use Purchase Security.,PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (i) 90 days after the date of purchase of an Insured Item. (ii) the date the Account ceases to be in Good Standing. and (iii) the date the Cardmember ceases to be eligible for coverage. Items purchased after coverage has ended are not covered.,Purchase Security,Process Purchase Security claim for the damaged running shoes.,Valid: All conditions for coverage are met.
Zara Ali purchased a high-end coffee machine for $400 using her card 4000 1000 0000 0055 on 04/20/2024. The machine developed a significant fault and stopped working on 05/25/2024. She wants to claim Purchase Security.,PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (i) 90 days after the date of purchase of an Insured Item. (ii) the date the Account ceases to be in Good Standing. and (iii) the date the Cardmember ceases to be eligible for coverage. Items purchased after coverage has ended are not covered.,Purchase Security,Process Purchase Security claim for the damaged coffee machine.,Valid: All conditions for coverage are met.
"Zara Ali, with card 4000 1000 0000 0055, purchased a new tablet for $350 on 05/10/2024. The tablet was stolen from her gym locker on 05/20/2024. She wants to claim Purchase Security.",PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (i) 90 days after the date of purchase of an Insured Item. (ii) the date the Account ceases to be in Good Standing. and (iii) the date the Cardmember ceases to be eligible for coverage. Items purchased after coverage has ended are not covered.,Purchase Security,Process Purchase Security claim for the stolen tablet.,"Valid: Item purchased and stolen within 90 days, account in good standing, cardmember eligible."
Zara Ali's account was not in 'Good Standing' from 03/01/2024 to 04/30/2024. It was restored to 'Good Standing' on 05/01/2024. She then purchased a new pair of headphones for $150 using her card ending in 0055 on 05/10/2024. The headphones were stolen from her bag on 05/25/2024. She wants to make a Purchase Security claim.,PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (i) 90 days after the date of purchase of an Insured Item. (ii) the date the Account ceases to be in Good Standing. and (iii) the date the Cardmember ceases to be eligible for coverage. Items purchased after coverage has ended are not covered.,Purchase Security,Process Purchase Security claim as the item was purchased while the account was in Good Standing and within the 90-day period.,Valid: Item purchased when account was in Good Standing and stolen within 90 days.
Zara Ali purchased a high-quality blender for $200 using her card 4000 1000 0000 0055 on 03/15/2024. The blender broke down on 06/10/2024.,PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (i) 90 days after the date of purchase of an Insured Item. (ii) the date the Account ceases to be in Good Standing. and (iii) the date the Cardmember ceases to be eligible for coverage. Items purchased after coverage has ended are not covered.,Purchase Security,Process Purchase Security claim for the broken blender.,Valid: Damage occurred within 90 days of purchase.
Zara Ali made an ATM withdrawal of $500 using her card 4000 1000 0000 0055 on 06/01/2024. The cash was stolen from her wallet on 06/02/2024. She wants to claim Purchase Security for the stolen cash.,PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (i) 90 days after the date of purchase of an Insured Item.,Purchase Security,"Explain that Purchase Security applies to 'Insured Items' purchased with the card, not to cash withdrawals or other non-purchase transactions. Advise to report the theft to local authorities if she hasn't already.",Invalid: Not a qualifying purchase of an insured item; it was a cash withdrawal.
Zara Ali purchased a set of golf clubs for $700 using her card 4000 1000 0000 0055 on 05/20/2024. The clubs were damaged during transit by an airline on 06/05/2024. She wants to claim Purchase Security.,PURCHASE SECURITY: End of Coverage – Coverage under Purchase Security ends on the earliest of: (i) 90 days after the date of purchase of an Insured Item. (ii) the date the Account ceases to be in Good Standing. and (iii) the date the Cardmember ceases to be eligible for coverage. Items purchased after coverage has ended are not covered.,Purchase Security,Process Purchase Security claim for the damaged golf clubs.,Valid: All conditions for coverage are met.
